"id_che300","id_souhu"
"667","114299"
"668","114298"
"669","114300"
"671","104653"
"672","112695"
"673","113110"
"674","112733"
"675","113110"
"676","113110"
"677","104645"
"678","104648"
"680","104647"
"681","104644"
"683","104646"
"685","104643"
"689","104622"
"691","104621"
"692","104621"
"694","104638"
"696","104624"
"697","104602"
"698","104620"
"699","104592"
"701","104619"
"702","104604"
"704","104618"
"705","104615"
"706","104614"
"708","104598"
"712","122606"
"713","122967"
"714","122605"
"715","122604"
"716","118654"
"717","118655"
"720","118656"
"721","118657"
"722","118658"
"723","118659"
"724","118660"
"730","120810"
"731","116644"
"732","116645"
"733","116646"
"734","116647"
"735","116648"
"737","110977"
"738","110988"
"739","110989"
"740","110994"
"741","110995"
"742","104581"
"744","104582"
"745","104574"
"748","104561"
"749","104555"
"750","104562"
"751","104557"
"752","104553"
"753","104554"
"754","119166"
"755","119167"
"758","122064"
"759","122066"
"760","119858"
"761","119857"
"762","119856"
"763","119855"
"764","119854"
"765","119853"
"766","117666"
"767","117667"
"768","117668"
"769","113903"
"770","113904"
"771","113905"
"772","110798"
"773","110960"
"774","110963"
"775","110966"
"776","104543"
"777","104544"
"778","104547"
"779","104531"
"781","104665"
"782","104666"
"783","104663"
"784","104662"
"785","104661"
"786","119783"
"788","106443"
"789","106443"
"796","120784"
"811","121758"
"812","121756"
"813","121757"
"814","121755"
"815","115487"
"817","115488"
"819","110903"
"820","110903"
"821","110902"
"822","110903"
"823","110904"
"824","110903"
"825","110905"
"826","110903"
"827","110906"
"828","102251"
"833","102256"
"836","102244"
"839","102258"
"841","102260"
"844","102210"
"845","102241"
"846","102241"
"847","102242"
"854","102208"
"856","124032"
"857","124030"
"858","124031"
"859","124035"
"860","124036"
"861","124037"
"862","124033"
"863","124034"
"864","121582"
"871","118635"
"872","118643"
"873","117860"
"874","116542"
"875","116382"
"877","116381"
"878","116382"
"879","116383"
"881","114903"
"882","114899"
"885","114904"
"886","114900"
"888","114674"
"889","114901"
"891","114902"
"893","113962"
"894","112960"
"895","112961"
"896","113692"
"897","112962"
"898","113170"
"899","112963"
"900","102204"
"901","102204"
"904","102184"
"908","102179"
